Individual,site name GK,site name NPS,sample health state,worded_health,END_health,sample_date,necrosis_C,vacuolization_C,exocytosis_C,gastro sep_C,degraded symb_C,necrosis_I,vacuolization_I,exocytosis_I,gastro sep_I,degraded symb_I,score,blown_out_gastro,amoebocytes,loss_of_eosin,loss_of_structure,fungus/sponge,Notes,Initials,date_completed,Pics_taken,measurements,DONE
MCAV1_Aug2022_DT25_J,,SCTLD25,J,HD,,Aug-22,2,2,1,1,2,1,1,1,1,1,,1,1,1,0,1,,MC,1/30/2024,MC,MC,
MCAV1_Aug2022_DT25_M,,SCTLD25,M,DD,,Aug-22,3,3,3,3,3,3,3,3,2,2,,1,0,1,1,1,,GC,2/27/2024,GC,,
OFAV1_Aug2022_DT25_J,,SCTLD25,J,H_exposed,,Aug-22,3,3,3,3,3,3,3,3,2,3,,1,0,1,1,1,,GC,2/9/2024,GC,GC,
OFAV2_Aug2022_DT25_J,,SCTLD25,J,H_exposed,,Aug-22,,,,,,,,,,,,,,,,,,,,,,
OFAV3_Aug2022_DT25_J,,SCTLD25,J,H_exposed,,Aug-22,3,3,3,2,2,2,2,2,1,2,,1,0,1,0,1,,GC,2/29/2024,GC,GC,
OFRA1_Aug2022_DT25_J,,SCTLD25,J,H_exposed,,Aug-22,3,3,3,3,3,2,3,2,3,2,,1,1,0,0,1,,UH,2/20/2024,UH,GC,
OFRA2_Aug2022_DT25_J,,SCTLD25,J,H_exposed,,Aug-22,3,2,2,2,2,2,2,2,1,2,,1,0,1,1,1,,GC,2/8/2024,GC,MC,
OFRA3_Aug2022_DT25_J,,SCTLD25,J,H_exposed,,Aug-22,3,3,2,3,2,2,3,1,3,1,,1,1,0,1,1,,UH,2/20/2024,UH,MC,
CNAT2_Aug2022_DT25_J,DRTO1,SCTLD25,J,HD,M,Aug-22,1,2,2,2,1,1,1,2,2,1,,1,1,1,0,1,,MC,1/18/2024,MC,MC,
CNAT2_Aug2022_DT25_M,DRTO1,SCTLD25,M,DD,M,Aug-22,3,3,3,3,2,2,2,2,2,1,,1,1,1,0,1,,MC,1/18/2024,MC,MC,
MCAV2_Aug2022_DT25_J,DRTO1,SCTLD25,J,HD,M,Aug-22,3,1,2,2,1,1,1,1,1,1,,1,0,0,0,1,,GC,1/11/2024,GC,MC,
MCAV2_Aug2022_DT25_M,DRTO1,SCTLD25,M,DD,M,Aug-22,2,2,3,2,1,2,2,3,1,1,,1,1,1,0,1,,GC,1/11/2024,GC,MC,
CNAT1_June2022_DT25_M,,SCTLD25,M,DD,,Jun-22,3,3,3,3,2,2,2,2,2,2,,1,0,1,0,1,eggs & sperm,GC,2/7/2024,GC,MC,
CNAT3_June2022_DT25_J,,SCTLD25,J,HD,,Jun-22,2,2,1,2,2,1,2,2,1,2,,1,0,1,0,1,eggs & sperm,GC,2/7/2024,GC,MC,
CNAT3_June2022_DT25_M,,SCTLD25,M,DD,,Jun-22,2,2,2,1,1,1,1,2,1,2,,0,1,0,0,1,eggs,GC,2/6/2024,GC,MC,
MCAV1_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,2,1,1,2,2,1,1,1,1,2,,1,1,1,0,1,,MC,1/30/2024,MC,MC,
MCAV3_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,3,3,1,2,2,2,2,1,1,2,,1,0,1,0,1,,GC,2/27/2024,GC,,
OFAV1_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,3,3,2,2,2,2,2,1,2,2,,1,0,1,0,1,,GC,2/16/2024,GC,GC,
OFAV2_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,1,2,1,2,2,1,3,1,1,1,,1,1,0,0,1,,MC,2/9/2024,MC,GC,
OFAV3_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,3,3,3,3,2,2,3,3,2,2,,1,0,1,0,1,eggs & sperm,GC,2/15/2024,GC,GC,
OFRA1_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,3,3,3,3,3,3,3,2,3,3,,1,0,1,0,1,eggs,GC,2/29/2024,GC,MC,
OFRA2_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,1,1,2,2,2,1,1,1,2,2,,1,1,0,0,1,eggs,MC,2/9/2024,MC,MC,
OFRA3_June2022_DT25_J,,SCTLD25,J,H_exposed,,Jun-22,3,3,3,3,3,3,3,3,3,3,,1,0,1,1,1,eggs,GC,2/29/2024,GC,MC,
CNAT2_June2022_DT25_J,DRTO1,SCTLD25,J,HD,M,Jun-22,3,3,3,3,2,2,2,2,2,2,,1,1,1,0,1,,GC,1/18/2024,GC,MC,
CNAT2_June2022_DT25_M,DRTO1,SCTLD25,M,DD,M,Jun-22,3,2,2,2,2,3,2,1,1,2,,1,1,1,0,1,,MC,1/12/2024,MC,MC,
MCAV2_June2022_DT25_J,DRTO1,SCTLD25,J,H_exposed,J,Jun-22,1,1,1,2,2,1,2,1,1,2,,1,1,1,0,1,,GC,1/10/2024,GC,MC,
CNAT1_Sept2021_site2_J,,SCTLD26,J,naive,,Sep-21,2,2,1,2,2,1,1,1,1,2,,1,1,1,2,1,,MC,1/30/2024,MC,MC,
MCAV1_Sept2021_site2_J,,SCTLD26,J,naive,,Sep-21,3,3,3,2,3,2,2,3,2,2,,1,0,1,0,1,,GC,2/27/2024,GC,GC,
MCAV3_Sept2021_site2_J,,SCTLD26,J,naive,,Sep-21,3,3,3,2,3,2,2,3,2,3,,1,0,1,0,1,only had enough zoox for pics on slide 7,GC,2/27/2024,GC,GC,
OFAV1_Sept2021_site2_J,,SCTLD26,J,naive,,Sep-21,3,3,2,2,3,3,2,2,2,2,,1,0,1,0,1,,GC,2/26/2024,GC,MC,
OFAV2_Sept2021_site2_J,,SCTLD26,J,naive,,Sep-21,3,3,1,1,1,1,3,1,1,1,,0,1,0,0,1,,UH,2/19/2024,UH,GC,
OFRA1_Sept2021_site2_J,,SCTLD26,J,naive,,Sep-21,2,1,3,1,3,2,1,2,1,2,,0,1,0,0,1,,UH,2/7/2024,UH,MC,
OFRA2_Sept2021_site2_J,,SCTLD26,J,naive,,Sep-21,3,3,3,3,3,3,2,3,2,2,,1,0,1,0,1,,GC,2/9/2024,GC,MC,
CNAT2_Sept2021_site2_J,DRTO2,SCTLD26,J,naive,J,Sep-21,2,2,2,2,1,2,2,2,2,1,,1,0,1,0,1,,GC,1/18/2024,GC,MC,
CNAT3_Sept2021_site2_J,DRTO2,SCTLD26,J,naive,J,Sep-21,2,3,2,3,2,2,2,3,2,2,,1,1,1,0,1,,MC,1/12/2024,MC,MC,
MCAV2_Sept2021_site2_J,DRTO2,SCTLD26,J,naive,J,Sep-21,2,1,2,1,2,1,1,3,1,2,,1,0,0,0,1,,GC,1/10/2024,GC,MC,
OFAV3_Sept2021_site2_J,DRTO2,SCTLD26,J,naive,J,Sep-21,3,1,1,2,1,2,1,1,2,1,,1,0,0,0,1,,MC,1/12/2024,MC,MC,
OFRA3_Sept2021_site2_J,DRTO2,SCTLD26,J,naive,J,Sep-21,1,2,1,2,1,2,1,1,1,1,,1,1,0,0,1,,MC,1/29/2024,MC,MC,
CNAT1_Aug2022_DT26_J,,SCTLD26,J,H_exposed,,Aug-22,3,3,3,2,2,3,3,3,2,2,,1,0,1,0,1,,GC,2/6/2024,GC,MC,
MCAV1_Aug2022_DT26_J,,SCTLD26,J,H_exposed,,Aug-22,2,3,2,1,3,2,3,2,1,2,,1,1,1,0,1,eggs,UH,2/27/2024,UH,GC,
MCAV3_Aug2022_DT26_J,,SCTLD26,J,H_exposed,,Aug-22,3,3,2,2,2,2,2,1,2,2,,1,0,1,0,1,,GC,2/27/2024,GC,GC,
OFAV1_Aug2022_DT26_J,,SCTLD26,J,H_exposed,,Aug-22,3,2,2,2,1,2,3,2,1,2,,1,1,0,0,1,,UH,2/8/2024,UH,GC,
OFAV2_Aug2022_DT26_J,,SCTLD26,J,HD,,Aug-22,3,1,2,1,2,1,1,1,1,1,,0,1,0,0,1,,UH,2/8/2024,UH,GC,
OFRA1_Aug2022_DT26_J,,SCTLD26,J,H_exposed,,Aug-22,3,3,1,2,1,2,2,1,2,2,,1,0,1,1,1,,GC,2/26/2024,GC,GC,
OFRA2_Aug2022_DT26_J,,SCTLD26,J,HD,,Aug-22,3,3,2,3,2,3,3,2,2,3,,1,0,1,0,1,,GC,2/27/2024,GC,MC,
OFRA2_Aug2022_DT26_M,,SCTLD26,M,DD,,Aug-22,3,3,3,2,1,3,3,2,2,2,,1,1,0,1,1,,UH,2/21/2024,UH,MC,
CNAT2_Aug2022_DT26_J,DRTO2,SCTLD26,J,H_exposed,M,Aug-22,3,2,2,2,1,2,1,1,2,1,,1,1,1,0,1,,MC,1/18/2024,MC,MC,
CNAT3_Aug2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Aug-22,2,2,3,3,2,2,2,3,3,2,,1,1,1,0,1,,GC,1/11/2024,GC,MC,
CNAT3_Aug2022_DT26_M,DRTO2,SCTLD26,M,DD,M,Aug-22,3,2,2,2,1,2,2,2,2,1,,1,1,1,0,1,,MC,1/12/2024,MC,MC,
MCAV2_Aug2022_DT26_M,DRTO2,SCTLD26,M,DD,M,Aug-22,3,2,3,3,3,2,3,2,2,3,,1,0,1,0,1,,GC,1/10/2024,GC,MC,
OFAV3_Aug2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Aug-22,2,2,2,2,2,1,2,1,1,1,,1,1,1,0,1,,MC,1/30/2024,MC,MC,
OFAV3_Aug2022_DT26_M,DRTO2,SCTLD26,M,DD,M,Aug-22,3,3,3,3,3,3,2,3,3,2,,1,0,1,1,1,,MC,1/12/2024,MC,MC,
OFRA3_Aug2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Aug-22,3,3,1,2,2,3,2,2,1,1,,0,1,1,1,1,,ALL,1/19/2024,ALL,MC,
OFRA3_Aug2022_DT26_M,DRTO2,SCTLD26,M,DD,M,Aug-22,2,3,1,1,2,2,2,1,1,2,,0,1,1,0,1,,MC,1/30/2024,MC,MC,
CNAT1_June2022_DT26_J,,SCTLD26,J,H_exposed,,Jun-22,3,2,2,2,2,2,2,1,2,2,,1,0,1,0,1,eggs & sperm,GC,2/7/2024,GC,MC,
MCAV1_June2022_DT26_J,,SCTLD26,J,H_exposed,,Jun-22,2,1,3,1,3,2,1,3,1,3,,1,1,1,0,1,,UH,2/7/2024,UH,GC,
MCAV3_June2022_DT26_J,,SCTLD26,J,H_exposed,,Jun-22,3,3,3,3,3,3,3,2,3,3,,1,0,1,1,1,sperm,GC,2/27/2024,GC,GC,
OFAV1_June2022_DT26_J,,SCTLD26,J,H_exposed,,Jun-22,2,2,2,1,3,2,1,1,2,2,,0,1,0,0,1,eggs,UH,2/7/2024,UH,,
OFAV2_June2022_DT26_J,,SCTLD26,J,H_exposed,,Jun-22,3,3,3,3,2,2,2,2,1,2,,1,0,1,0,1,eggs & sperm,GC,2/16/2024,GC,GC,
OFRA1_June2022_DT26_J,,SCTLD26,J,H_exposed,,Jun-22,2,2,2,3,2,2,1,1,2,1,,1,1,1,0,1,Eggs,MC,1/30/2024,MC,MC,
OFRA2_June2022_DT26_J,,SCTLD26,J,H_exposed,,Jun-22,2,3,3,3,2,3,3,2,3,1,,1,1,0,1,1,Eggs,UH,2/21/2024,UH,MC,
CNAT2_June2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Jun-22,3,2,3,3,2,2,2,3,3,2,,1,1,1,0,1,,GC,1/18/2024,GC,MC,
CNAT2_June2022_DT26_M,DRTO2,SCTLD26,M,DD,M,Jun-22,3,2,2,3,1,2,2,2,2,1,,1,1,1,0,1,,GC,1/18/2024,GC,MC,
CNAT3_June2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Jun-22,1,1,2,2,1,1,2,2,2,1,,1,1,1,0,1,,MC,1/12/2024,MC,MC,
CNAT3_June2022_DT26_M,DRTO2,SCTLD26,M,DD,M,Jun-22,3,2,2,3,1,2,2,3,3,2,,1,1,1,1,1,,MC,1/12/2024,MC,MC,
MCAV2_June2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Jun-22,2,1,1,2,1,2,1,1,2,2,,1,0,1,0,1,,GC,1/10/2024,GC,MC,
MCAV2_June2022_DT26_M,DRTO2,SCTLD26,M,DD,M,Jun-22,3,2,3,3,2,2,2,2,2,3,,1,0,1,0,1,,GC,1/10/2024,GC,MC,
OFAV3_June2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Jun-22,1,2,1,1,2,1,1,1,1,1,,1,1,0,1,1,Eggs,MC,1/30/2024,MC,MC,
OFRA3_June2022_DT26_J,DRTO2,SCTLD26,J,HD,M,Jun-22,2,1,2,2,1,2,1,3,1,1,,1,1,0,0,1,Eggs,UH,1/20/2024,UH,MC,
CNAT2_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,3,3,3,2,3,3,2,2,2,3,,1,0,1,0,1,,GC,2/6/2024,GC,MC,
CNAT3_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,3,3,3,3,2,3,3,3,1,1,,1,1,1,0,1,eggs,GC,2/6/2024,GC,MC,
MCAV2_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,2,3,2,1,3,1,3,2,1,2,,0,1,0,0,1,,UH,2/27/2024,UH,GC,
MCAV3_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,2,3,2,2,2,1,2,2,1,2,,0,1,1,0,1,,GC,2/27/2024,GC,GC,
OFAV1_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,1,2,2,2,2,1,1,1,1,2,,1,1,0,0,1,,GC,2/8/2024,GC,GC,
OFAV2_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,3,2,3,2,2,1,1,2,1,1,,1,0,0,0,1,,GC,2/7/2024,GC,GC,
OFRA1_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,3,3,2,3,2,3,2,2,1,2,,1,0,1,1,1,,GC,2/8/2024,GC,MC,
OFRA3_Sept2021_site3_J,,SCTLD28,J,naive,,Sep-21,3,3,2,2,2,2,2,3,2,2,,1,0,1,0,1,,GC,2/29/2024,GC,MC,
CNAT1_Sept2021_site3_J,DRTO3,SCTLD28,J,naive,J,Sep-21,3,2,3,3,2,3,2,3,3,2,`,1,1,1,0,1,,GC,1/18/2024,GC,MC,
MCAV1_Sept2021_site3_J,DRTO3,SCTLD28,J,naive,J,Sep-21,2,1,1,2,2,1,1,1,1,2,,1,0,1,0,1,,GC,1/10/2024,GC,MC,
OFAV3_Sept2021_site3_J,DRTO3,SCTLD28,J,naive,J,Sep-21,1,2,1,3,2,2,1,1,1,2,,1,1,1,0,1,,MC,1/30/2024,MC,GC,
OFRA2_Sept2021_site3_J,DRTO3,SCTLD28,J,naive,J,Sep-21,3,1,2,2,1,3,2,1,1,1,,1,1,0,0,1,,MC,1/12/2024,MC,MC,
CNAT2_June2022_DT28_J,,SCTLD28,J,HD,,Jun-22,3,2,2,2,2,1,2,2,2,2,,1,1,1,0,1,eggs & sperm,GC,2/7/2024,GC,MC,
CNAT2_June2022_DT28_M,,SCTLD28,M,DD,,Jun-22,3,3,3,2,1,3,3,3,2,2,,1,1,1,0,1,eggs & sperm,GC,2/6/2024,GC,MC,
CNAT3_June2022_DT28_J,,SCTLD28,J,HD,,Jun-22,3,3,3,2,3,3,3,3,2,3,,1,0,1,0,1,,GC,2/7/2024,GC,MC,
CNAT3_June2022_DT28_M,,SCTLD28,M,DD,,Jun-22,3,3,1,2,1,3,3,2,2,1,,1,0,1,0,1,,GC,2/6/2024,GC,MC,
OFAV1_June2022_DT28_J,,SCTLD28,J,HD,,Jun-22,2,1,1,1,2,1,2,1,1,,,0,1,0,0,1,eggs,UH,2/8/2024,UH,MC,
OFAV1_June2022_DT28_M,,SCTLD28,M,DD,,Jun-22,3,3,2,1,2,2,3,2,1,2,,0,0,0,0,1,eggs,GC,2/8/2024,GC,,
OFAV2_June2022_DT28_J,,SCTLD28,J,HD,,Jun-22,3,3,3,3,3,3,2,3,2,2,,1,0,1,0,1,eggs & sperm,GC,2/9/2024,GC,GC,
OFAV2_June2022_DT28_M,,SCTLD28,M,DD,,Jun-22,3,3,3,3,3,3,2,2,2,3,,1,1,1,1,1,Eggs,MC,1/30/2024,MC,MC,
OFRA1_June2022_DT28_J,,SCTLD28,J,H_exposed,,Jun-22,3,3,3,2,3,3,2,2,2,2,,1,0,1,1,1,eggs,GC,2/7/2024,GC,MC,
OFRA3_June2022_DT28_J,,SCTLD28,J,H_exposed,,Jun-22,2,2,2,1,1,1,2,1,1,2,,1,1,1,0,1,Eggs,UH,2/22/2024,UH,MC,
CNAT1_June2022_DT28_J,DRTO3,SCTLD28,J,HD,M,Jun-22,2,2,2,3,2,2,2,3,2,2,,1,1,1,0,1,,GC,1/18/2024,GC,MC,
CNAT1_June2022_DT28_M,DRTO3,SCTLD28,M,DD,M,Jun-22,3,3,2,3,2,3,2,2,2,2,,1,1,0,0,1,,MC,1/18/2024,MC,MC,
MCAV1_June2022_DT28_J,DRTO3,SCTLD28,J,HD,M,Jun-22,1,2,2,1,1,1,2,2,1,2,,1,0,0,0,1,,GC,1/10/2024,GC,MC,
MCAV1_June2022_DT28_M,DRTO3,SCTLD28,M,DD,M,Jun-22,3,3,3,3,3,3,3,3,3,3,,1,1,1,1,1,Looks like shit,MC,1/30/2024,MC,MC,
OFAV3_June2022_DT28_J,DRTO3,SCTLD28,J,HD,M,Jun-22,2,2,1,2,2,1,1,1,2,1,,1,1,1,0,1,Eggs,MC,1/30/2024,MC,MC,
OFAV3_June2022_DT28_M,DRTO3,SCTLD28,M,DD,M,Jun-22,2,3,1,2,1,3,3,1,2,1,,1,1,1,0,1,Eggs,UH,1/30/2024,UH,MC,
OFRA2_June2022_DT28_J,DRTO3,SCTLD28,J,HD,M,Jun-22,2,2,1,2,1,1,1,1,1,1,,1,1,0,0,1,Eggs/Sperm,MC,1/29/2024,MC,GC,
OFRA2_June2022_DT28_M,DRTO3,SCTLD28,M,DD,M,Jun-22,2,1,1,2,2,2,2,1,1,1,,1,0,0,0,1,Eggs,MC,1/22/2024,MC,MC,
CNAT2_Feb2022_DR28_J,,SCTLD28,J,H_exposed,,Feb-22,2,2,3,1,3,2,2,2,2,3,,1,1,0,0,1,eggs,UH,1/31/2024,UH,MC,
CNAT3_Feb2022_DR28_J,,SCTLD28,J,H_exposed,,Feb-22,,,,,,,,,,,,,,,,,,,,,,
MCAV2_Feb2022_DR28_M,,SCTLD28,M,DD,,Feb-22,3,3,2,1,2,2,2,1,1,2,,1,0,1,0,1,eggs,GC,2/27/2024,GC,GC,
MCAV2_Feb2022_DT28_J,,SCTLD28,J,HD,,Feb-22,3,3,1,1,3,1,2,2,1,2,,0,1,1,0,1,eggs,GC,2/27/2024,GC,GC,
MCAV3_Feb2022_DR28_M,,SCTLD28,M,DD,,Feb-22,3,3,2,1,3,2,3,2,1,2,,1,0,1,0,1,,GC,2/27/2024,GC,GC,
OFAV1_Feb2022_DR28_J,,SCTLD28,J,HD,,Feb-22,2,3,1,1,1,2,2,1,2,1,,1,1,0,0,1,,UH,2/19/2024,UH,GC,
OFAV1_Feb2022_DR28_M,,SCTLD28,M,DD,,Feb-22,3,3,3,3,2,2,2,2,2,2,,1,1,1,0,1,,MC,1/30/2024,MC,MC,
OFAV2_Feb2022_DR28_J,,SCTLD28,J,H_exposed,,Feb-22,3,3,3,2,2,2,2,2,1,2,,1,0,1,0,1,,GC,2/7/2024,GC,GC,
OFRA1_Feb2022_DR28_J,,SCTLD28,J,H_exposed,,Feb-22,2,3,2,2,2,2,2,1,2,2,,1,1,0,0,1,,MC,1/30/2024,MC,MC,
OFRA3_Feb2022_DR28_J,,SCTLD28,J,H_exposed,,Feb-22,2,3,2,3,2,2,2,1,1,1,,1,0,1,0,1,,GC,2/9/2024,GC,MC,
CNAT1_Feb2022_DR28_J,DRTO3,SCTLD28,J,HD,M,Feb-22,1,2,2,3,1,1,1,2,2,1,,1,0,0,0,1,,MC,1/18/2024,MC,MC,
CNAT1_Feb2022_DR28_M,DRTO3,SCTLD28,M,DD,M,Feb-22,3,3,2,2,2,2,2,1,2,2,,1,0,1,0,1,,GC,1/18/2024,GC,MC,
MCAV1_Feb2022_DT28_J,DRTO3,SCTLD28,J,HD,M,Feb-22,2,1,1,3,1,1,1,1,1,1,,1,0,0,0,1,,GC,1/11/2024,GC,MC,
MCAV1_Feb2022_DT28_M,DRTO,SCTLD28,M,DD,M,Feb-22,3,2,1,3,2,3,2,1,1,1,,1,1,1,0,1,,GC,1/10/2024,GC,MC,
OFAV3_Feb2022_DR28_J,DRTO3,SCTLD28,J,HD,M,Feb-22,1,2,1,1,1,1,2,1,1,1,,1,0,1,0,1,,MC,1/30/2024,MC,MC,
OFAV3_Feb2022_DR28_M,DRTO3,SCTLD28,M,DD,M,Feb-22,3,2,2,3,2,2,1,1,2,1,,1,1,1,1,1,,MC,1/25/2024,MC,GC,
OFRA2_Feb2022_DR28_J,DRTO3,SCTLD28,J,H_exposed,J,Feb-22,1,1,2,1,2,1,1,2,1,3,,0,1,0,0,1,,UH,1/30/2024,UH,MC,
